system:index,Latitude,Longitude,Year,.geo
000000000000000035bb_0,6.45601512038095,-2.2809524823456964,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002572_0,5.1784394641256295,-1.20545970499084,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002143_0,5.68018746648587,-2.096957366355735,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000213a_0,5.680459671743158,-2.0974987240051512,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002129_0,5.68100281246601,-2.0977687696234573,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002142_0,5.6801878897675415,-2.0972282563554763,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172d_0,6.048902590510864,-1.915837169830105,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000214c_0,5.679916107703092,-2.096957788959263,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172e_0,6.048902049332879,-1.9155661168805995,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d3_0,6.05134789812946,-1.9174586295036575,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000212f_0,5.680731453629924,-2.0977691919083026,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000192b_0,5.993476510746783,-1.754148683529304,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000214b_0,5.679916530964415,-2.0972286788322765,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000257f_0,5.177889261730723,-1.2027555764114712,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002552_0,5.199904195420482,-1.1242275570384814,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002553_0,5.199903390238186,-1.1239569939786151,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002571_0,5.1784402311665225,-1.205730271320158,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002132_0,5.6807267928940615,-2.094789399800583,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000355a_0,6.460078650954953,-2.276063480828396,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000214a_0,5.679916954098794,-2.097499568725802,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002139_0,5.6804600947912665,-2.0977696141726465,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002554_0,5.199902584939927,-1.1236864309612198,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016b2_0,6.049986868772084,-1.9152929005276125,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002580_0,5.17788849350018,-1.202485010759744,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016b3_0,6.049986327225809,-1.915021847087165,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016b1_0,6.049987410183115,-1.915563953992768,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002133_0,5.680726368429021,-2.0945185097322576,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000191c_0,5.99510322855682,-1.753602969362513,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016d1_0,6.049714987066297,-1.9150223881163708,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002570_0,5.178710727342793,-1.2054589398426558,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172c_0,6.048904213233504,-1.9166503288267729,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002141_0,5.680188312922262,-2.09749914637573,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001922_0,5.994560578459984,-1.753604200995048,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002584_0,5.177617230720423,-1.2024857770531847,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035c4_0,6.455743756936866,-2.280952865175076,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002155_0,5.679644748917743,-2.096958211542274,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002578_0,5.178160524548507,-1.2027548101925398,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001712_0,6.04917609420949,-1.9169208418655173,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000191f_0,5.994831903509772,-1.7536035851929697,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003562_0,6.459536695955559,-2.2766068354463056,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002555_0,5.199632944788479,-1.1242283601007783,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002556_0,5.1996321396484095,-1.1239577971565808,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002587_0,5.177345967938237,-1.202486543305935,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002154_0,5.679645172158716,-2.0972291012885647,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016d2_0,6.049714445409249,-1.914751334835736,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016b4_0,6.049985785544291,-1.914750793671432,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002160_0,5.67937296678226,-2.0966877445057093,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
